1;99260346;99887766;13;FINALIZADA
2;99887766;99887766;0;FINALIZADA
3;88679741;21987766;0;FINALIZADA
4;88679741;21987766;15;FINALIZADA
5;88679741;21987766;10.0;FINALIZADA
6;88679741;21987766;10.0;FINALIZADA
7;88679741;21987766;16.0;FINALIZADA
8;88679741;21987766;12.5;FINALIZADA
9;88679741;21987766;18.5;FINALIZADA
10;88679741;21987766;10.0;FINALIZADA
11;88679741;21987766;30.0;FINALIZADA
12;99887766;21987766;25.0;FINALIZADA
13;88679741;21987766;15.0;FINALIZADA
14;99887766;11887766;15.0;FINALIZADA
15;11223344;21987766;25.0;FINALIZADA
16;11223344;21987766;15.0;FINALIZADA
17;99887766;21987766;15.0;FINALIZADA
18;99887766;11887766;15.0;FINALIZADA
19;99887766;11887766;30.0;FINALIZADA
20;99887766;11887766;20.0;FINALIZADA
21;88679741;11887766;15.0;FINALIZADA
22;88679741;21987766;10.0;FINALIZADA
23;88679741;21987766;30.0;FINALIZADA
24;99887766;21987766;30.0;FINALIZADA
25;88679741;21987766;25.0;FINALIZADA
26;88679741;11887766;20.0;FINALIZADA
27;88679741;11887766;25.0;FINALIZADA
28;88679741;11887766;20.0;FINALIZADA
29;88679741;N/A;0.0;FINALIZADA
30;99887766;11887766;20.0;FINALIZADA
31;88679741;11887766;25.0;FINALIZADA
